Location,Occur
Japan,23
South Korea,21
Random,21
Seoul,15
France,15
Korea,12
Louisville,11
Asia,11
United States,11
Los Angeles,10
Tokyo,9
Kentucky,9
California,7
Cherry Filter,7
London,6
Osaka,6
Australia,6
China,6
Belgium,6
Europe,6
Ireland,6
England,5
Budapest,5
Singapore,5
Thailand,5
Spain,5
Love,5
Lee,5
Seattle,4
Spring,4
Zurich,4
Hong Kong,4
St . Louis,4
Chicago,4
Missouri,3
Malaysia,3
Pearl,3
Italy,3
Philippines,3
San Francisco,3
Blue Moon,3
Canada,3
Taiwan,3
Hope,3
Dublin,3
New York City,3
Rock,3
America,3
Long Beach,3
Nasty River,3
Paris,3
South Korea Genres Rock,2
Austin,2
Argentina,2
Lisbon,2
Park,2
Hollywood,2
Illinois,2
Puerto Rico,2
Blue Square,2
Washington,2
As,2
Ocean,2
Helsinki,2
Le Club,2
Detroit,2
North America,2
2nd Avenue,2
Bristol,2
Russia,2
New York,2
New Jersey,2
Miami,2
Southern California,2
Gavin,2
In Korea,2
Indonesia,2
Love ",2
Square,2
Moscow,2
Amsterdam,2
Denver,2
Buenos Aires,2
United Kingdom,2
Switzerland,2
Discography,2
Brave,2
Le Galaxie,2
San Juan,2
Manchester,2
Heart,1
South America,1
Love Bingo 1.3.4 Love Parade,1
Camp Skingraft,1
2018-03-05,1
Latin America,1
Los Traidores,1
See You,1
South Korean,1
Guangzhou,1
Herald,1
Yujeong,1
Orange Sound,1
Britain,1
Times Square,1
Arab On,1
Sun,1
Milan,1
Los Tontos,1
Manhattan,1
Sydney,1
Baztarz,1
Square Two Music,1
Oakwood,1
Arenal Sound,1
Poland,1
Konami,1
Electric Zoo,1
Dallas,1
CA,1
Yijo,1
Jun,1
Monegros Desert,1
Shanghai,1
2017-03-27,1
2018-03-14,1
Sao Paulo,1
Trophy Wives,1
Beverly Hills,1
Czech Republic,1
Baltimore,1
Red River,1
Place,1
Central America,1
Belle Ile,1
SoHo,1
Oakland,1
Square Two",1
Cinderella,1
1st Look,1
Trinidad,1
Brazil,1
Origin Sheffield,1
Black Pink,1
Roadburn Magazine,1
Vinyl,1
Calgary,1
Irish,1
JazzReggae,1
Yeongju,1
Venus,1
Texas,1
Sunset Music,1
Sheffield,1
Loyalty,1
Porn,1
Ore,1
Sunset Junction,1
Taipei,1
Brooklyn,1
Manila,1
Nagano,1
Yonghwa,1
Netherlands,1
Rainbow,1
Phoenix,1
Alaska,1
Seongnam,1
108,000,1
Romania,1
Yoo Il,1
48,000,1
2018,1
Rampage,1
Scene Point Blank,1
Le Castle Vania,1
Eastern Europe,1
Florence,1
Orange Road,1
North Korea,1
Spring Love,1
San Diego,1
Alaska Film,1
Youtube Channel,1
Montevideo Rock,1
Las Vegas,1
Labels,1
6th,1
Athens,1
Seven,1
Tomorrow,1
Hope Website,1
Cherry Red,1
India,1
Bangkok,1
Beijing,1
Le Rock,1
Los,1
Arcadia,1
Seoul Forest,1
Camp Bisco,1
Madrid,1
Gabriela,1
Jamaica,1
Germany,1
Il,1
Portland,1
Chad Organ,1
Sun City Music,1
Sleeping Village,1
Costa Rica,1
Middle East,1
Le Galaxie’s,1
Nice,1
Temple Bar,1
Nanjing,1
Five Minutes,1
Billboard Korea,1
Jina,1
Kane Ga,1
Irvine,1
NEW,1
Trophy,1
Shikshin Road,1
A.C.E,1
North Hollywood,1
Blue Point,1
Hope Concert,1
Austria,1
Memphis,1
Like Ga,1
Korea Music,1
Square Two,1
Glastonbury,1
El Paso,1
Hungary,1
Fullerton California,1
Pomona,1
New Zealand,1
Tomorrow Website,1
28,000,1
Shinjuku,1
Oricon,1
Tampa,1
Ultra Channel Orange,1
Tennessee,1
Spring To,1
Earth,1
Atlanta,1
Guiding Light,1
Audio River,1
Guiding,1
Inkigayo,1
Jamaica ",1
Strasbourg,1
Orange County,1
References,1
Queens ",1
