Location,Occur
Random,88
New York,43
United States,40
London,21
Philadelphia,20
New York City,20
Love,17
California,13
Rock,13
Love ",11
Bronx,11
Sydney,10
Brooklyn,10
North Carolina,10
Hong Kong,10
Pennsylvania,9
Ohio,9
Mercury,9
Los Angeles,9
Manhattan,8
New Jersey,8
Cleveland,8
Harlem,7
Canada,7
Chicago,7
Cincinnati,6
Hollywood,6
Queens,6
Jasper,6
Moon,6
Toronto,6
Seoul,6
Pittsburgh,6
England,5
Rio de Janeiro,5
Long Island,5
Connecticut,5
America,5
Spring,4
Wisconsin,4
Detroit,4
Pamela,4
Brazil,4
Richmond,4
Newport News,4
Rainbow,4
Come,4
Las Vegas,4
Florida,4
Massachusetts,4
Me ",4
Washington Heights,4
Original Sound,3
",3
Illinois,3
Maryland,3
Atlantic,3
Arkansas,3
Washington,3
Baltimore,3
Australia,3
Atlantic City,3
Little Misunderstanding,3
Jackson,3
Melbourne,3
Tokyo,3
Iowa,3
Broadway,3
China,3
San Francisco,3
Asia,3
Indonesia,3
Billboard,3
Boston,3
Delaware,3
New Haven,3
Taiwan,3
Jamaica,3
Virginia,3
El Dorados,3
Ontario,3
Earth,3
France,3
Jersey City,3
Century Fox,3
Milwaukee,2
Indiana,2
1998-2002,2
Belmont Avenue,2
Britain,2
Nashville,2
Times Square,2
Sun,2
Park,2
Venice,2
Keys,2
Quincy,2
Ambient Sound,2
1st,2
Nevada,2
Michigan,2
Ronald,2
Charlotte,2
Carlisle,2
Brooks,2
New South Wales,2
Scotland,2
Alabama,2
Annual Palisades Park Reunion,2
Mountain,2
Korea,2
Reunion,2
Palisades Park,2
Marion,2
Staten Island,2
San Joaquin Valley,2
Hidden,2
1952-1958,2
Madison Square Garden,2
Mason,2
Kern County,2
Germany,2
Newport,2
the Netherlands,2
Moon ",2
New Orleans,2
Edwards,2
Slim,2
Mountain ",2
Riverside,2
King,2
Memphis,2
Japan,2
Me,2
Durham,2
Tennessee,2
Brighton,2
Hartford,2
Water,1
Rock Hall,1
Beach Road Music,1
Summit,1
San Jose,1
Pa,1
Chico,1
Haworth,1
tenor/2nd,1
Lincoln Heights,1
Sydney Stadium,1
Fargo,1
Job ",1
El Monte,1
Camden,1
Fabulous Palm Springs,1
Cleveland Scene,1
Palace,1
Herald,1
Austin Texas,1
Toronto Canada,1
Victorian,1
Dave,1
Greater China,1
Sea,1
James Leeds,1
Soul,1
Devil,1
NEW THIS,1
Main Street,1
Vernon Sievers,1
Newark,1
Georgia,1
Columbus Avenue,1
Philly Sound,1
Sharon,1
T U V W X Y Z A,1
South Australia,1
South Beach,1
Nassau Coliseum,1
As,1
Mind,1
Niagara Falls,1
Clear Lake,1
New Love,1
Cape Coral,1
Harlem Queens ",1
Dallas,1
Fox Theatre,1
Spider ",1
CA,1
Carolinas,1
Bloomington,1
Asbury Park,1
Fort Ord,1
Jive,1
250,000,1
Beverly Hills,1
Featuring,1
Mount Olivet,1
Jakarta,1
Boots,1
Cincinnati Pittsburgh,1
St,1
Flint Michigan,1
Bakersfield,1
New Pop,1
Woodstock,1
1933-1975,1
Salinas,1
O'Keefe,1
Melbourne ",1
Heaven,1
baritone/2nd,1
Rochester,1
Etna Comics,1
Vernon ",1
Puppy,1
Sparks,1
Please,1
Devil Or,1
K-Music,1
Columbia,1
Ivory,1
Venus,1
Texas,1
Bermuda ",1
External,1
U.S. East Coast,1
Us,1
Camp,1
Indianapolis,1
Fulton,1
New Singles,1
Little Bit,1
2010,1
Kennedy,1
Nebraska,1
Youngstown,1
Amarillo Air,1
Essex,1
Nixon,1
Garden,1
Billy,1
Little Monkey,1
Carolina Beach,1
Motown,1
Jive Five,1
Parris,1
Houghs Neck,1
Oss,1
120th Street,1
Vernon,1
Sunset,1
Rennes,1
Batavia,1
Labels Planet,1
Mercury Records,1
Bakersfield Sound,1
Tin Pan Alley,1
Seoul International,1
Pasco,1
Blandon,1
Bette McLaurin,1
Old Town,1
Sudbury,1
Florence,1
Belmont,1
Balearic Islands,1
Puerto Ricans,1
Como,1
Kern,1
Love Love Love,1
Arizona,1
El Rays,1
Montana,1
J.,1
Montgomery,1
Kentucky,1
Ghana,1
Labels,1
Spencer,1
Beijing,1
East Harlem,1
Mad,1
Santiago,1
Islip,1
Sarasota,1
Madrid,1
Amazon,1
Fenway Park,1
Plymouth Belvedere,1
Toronto Centre,1
La Grange,1
Greater Pittsburgh,1
Mercury B-side,1
Amelia,1
1st Place,1
Black Singles,1
River,1
Dion,1
Hyun Park,1
San Antonio,1
2nd,1
Banyoles,1
Annual Korea-America,1
Spain,1
River ",1
Atlantic Records,1
Fireflies,1
Caribbean,1
The Netherlands,1
New,1
Sheppard,1
Wimbledon,1
Little Italy,1
Dublin,1
Ko Mo,1
South Korea,1
Coppell,1
Mission,1
Musical,1
Kern County San Joaquin Valley,1
Stubbs,1
Apollo,1
Magic Moments-The,1
Baltimore United States,1
Auburn,1
Carolina,1
Little Monkey ",1
More River,1
Recorded Sound,1
Ron,1
Palm Springs,1
Derivative,1
Answers.com,1
Row,1
Maihama,1
Baltimore Los Angeles,1
Ano,1
Blue Ash,1
United States of America,1
Pasadena,1
La La La ",1
Atlanta,1
Hamilton,1
Ng,1
Love You,1
Beijing TV Spring,1
Me -,1
East Hollywood,1
West Philadelphia,1
Roxbury,1
Lee,1
Santa Barbara,1
Sacred Harp,1
Madison Garden,1
Santa Monica,1
Norwalk,1
Pennsylvania United States,1
Two ",1
Indian Head,1
Bay,1
San Gennaro,1
Evergreen,1
Drake,1
