Location,Occur
Vegas,9
Manchester,6
Ariel,5
London,5
England,4
Washington,4
Random,3
United States,3
United Kingdom,3
Tokyo,2
Seattle,2
Europe,2
Sheffield,2
Scotland,2
Ireland,2
New York,2
South America,1
Detroit,1
Scorpio,1
Dublin,1
Herne Hill,1
Dreams,1
Iggy Pop,1
Mason Klaxons,1
Thee,1
Rome,1
Brazil,1
Planet Funk,1
Chile,1
South London,1
Mercury Rev,1
Albany,1
Head,1
Argentina,1
Rye Rye ),1
Japan,1
Planet Mu,1
, Netherlands,1
Dickenson Road,1
Britain,1
California,1
European,1
Liam Gallagher,1
Sun,1
Surrender,1
Naked Under,1
80,000,1
Mason,1
Love,1
Death,1
Manhattan,1
Simons,1
Rye Rye,1
Vintage,1
Mercury Music Prize,1
Exit Planet Dust,1
Adams,1
Noel,1
Spain,1
San Francisco,1
Great Portland Street,1
Creamfields,1
Also,1
Point Theatre,1
Queens ",1
