Location,Occur
South Korea,86
Seoul,70
Random,48
Japan,45
Korea,40
Asia,26
Tokyo,25
Love,22
Indonesia,16
Thailand,15
Osaka,13
China,13
Hong Kong,13
United States,13
Los Angeles,12
Taiwan,10
Singapore,9
Malaysia,8
Lee,8
London,7
Cherry Filter,7
California,6
Spring,6
Ocean,6
Manila,6
Spring Day,6
Spring Up,6
Brave New,6
Bastarz,5
Park,5
Rainbow,5
Philippines,5
Europe,5
Brave,5
Mexico,5
Sniper Sound,4
Dallas,4
Shanghai,4
Brazil,4
Venus,4
New York,4
New Jersey,4
San Francisco,4
Apink,4
Hong,4
Billboard,4
Square,4
Cambodia,3
Argentina,3
Seattle,3
Times Square,3
Budapest,3
Helsinki,3
Australia,3
New Planet Entertainment,3
North America,3
Pearl,3
Russia,3
São Paulo,3
Orange Caramel,3
Mo Mo Mo ",3
Fresh,3
Moon,3
Seven Springs,3
Love ",3
Bangkok,3
Beijing,3
NCT,3
Toronto,3
Wheesung,3
Vietnam,3
Discography,3
Magic Girl,3
Mission,3
Rock,3
France,3
Chicago,3
Paris,3
New Men,2
South Korea Genres Rock,2
Latin America,2
Warsaw,2
Lisbon,2
Milan,2
Finland,2
King of,2
Sydney,2
Puerto Rico,2
Blue Square,2
Hawaii,2
Jakarta,2
Miami Beach,2
1TYM,2
Latin Airplay,2
Melbourne,2
Latin,2
Italy,2
Irizarry,2
Johyun,2
La Banda,2
Miami,2
In Korea,2
Billionaire Sound,2
Orange,2
U ",2
Chile,2
Rocky,2
Florida,2
Vancouver,2
Il,2
Korea Times Music,2
Feel Korea,2
Coffee Prince,2
Amsterdam,2
Nice,2
New,2
New York City,2
Thailand ",2
New Delhi,2
24/7,2
Bolivia,2
Earth,2
America,2
Heart,1
South America,1
Heo Ga Yoon ",1
Pokémon,1
Love Bingo 1.3.4 Love Parade,1
Inspirados,1
2018-03-05,1
San Jose,1
Kimi Ga Soba Ni,1
South Korean,1
January,1
Tokyo Dome,1
Camden,1
Herald,1
Yujeong,1
Austin Texas,1
Tours,1
Toronto Canada,1
Miss Korea,1
2Yoon,1
Tokyo Dome City Hall,1
Olympic,1
Tripper Sound,1
Hollywood,1
Bloom,1
Head Down,1
Manhattan,1
Newark,1
Key,1
Baztarz,1
Ga In,1
Olympic Park,1
Square Two Music,1
Spin,1
Phnom Penh,1
M/V ",1
Website,1
K,1
M,1
Washington,1
As,1
Gyeongbuk Province,1
U,1
Love Song,1
Poland,1
Yijo,1
Jun,1
Blue,1
2017-03-27,1
N/A Spring,1
Dongmakgol,1
2018-03-14,1
Date Channel Show,1
Cuba,1
Vizit Korea,1
Music,1
Changwon,1
Shinhwa,1
Brave New World,1
[2011.11.21],1
151,1
Square Two",1
Chungnam Province,1
M-Live,1
1st Look,1
Paris Baguette,1
Hello,1
Light,1
This,1
Yoyogi,1
Melbourne ",1
Black Pink,1
Ecuador,1
Colombia,1
1st Asia,1
Incheon,1
Forbes Korea,1
Seoul South Korea,1
Pennsylvania,1
Billionare Sound,1
K-Music,1
Yun,1
Texas,1
8Eight,1
Marco Polo,1
Ore,1
Taipei,1
Century Mean,1
Korea Strait,1
Stewart,1
Fresh ",1
Netherlands,1
Seongnam,1
108,000,1
Garden,1
Sinagawa,1
Tokyo Dome City,1
Pentaport Rock,1
Nagoya,1
Yoo Il,1
Place ",1
Taiwan ",1
48,000,1
Mo Mo Mo",1
Asia Pacific Arts,1
Southern California,1
Rennes,1
2018,1
Addiction,1
[2007.07.15,1
Seoul International,1
Youkyung,1
Jacob,1
Portugal,1
Busan Coffee Gallery,1
Orange Road,1
North Korea,1
Spring Love,1
Song,1
Youtube Channel,1
Pattaya International Music,1
Caribbean Bay,1
Singer Channel V,1
Ma Boy ",1
6th,1
Hanoi,1
Seven,1
YouTube,1
Girls,1
India,1
Starship Planet Website,1
Canada,1
Seoul Forest,1
This Korea,1
Amazon,1
Germany,1
Site,1
162,251+,1
May,1
Seoul Arts College,1
Planet Mato,1
Toronto Centre,1
Lee Jeong-ho,1
Central and South America,1
Moscow,1
Madrid Spain,1
YouTube Channel,1
Massachusetts,1
Underdogg,1
Five Minutes,1
Hyun Park,1
J-Walk,1
Me",1
Concert,1
Spain,1
Annual Korea-America,1
Billboard Korea,1
Kan Mi Youn,1
Jina,1
S.E.S.,1
Joon Park,1
Irvine,1
Moon Bin,1
Hope,1
NEW,1
Shikshin Road,1
A.C.E,1
New Delhi",1
Green Plugged,1
Year Channel V Thailand,1
Hope Concert,1
Songwriter,1
CA.,1
77,000,1
Channel Concerts,1
K-POP,1
Like Ga,1
Korea Music,1
Square Two,1
Romantic Spring,1
Jaebeom,1
Venice Piazza,1
Won Korea,1
Hungary,1
Members Mo Sang,1
2PM,1
New Zealand,1
Monkey Island,1
Kan,1
Bar Bar Bar,1
Oricon,1
Ontario,1
Ethiopia,1
Shinagawa,1
Gangneung,1
Beat,1
Spring To,1
Cry,1
Asia Song,1
Cleveland,1
ByJinSung,1
Pony Canyon,1
Pakistan,1
Hamilton,1
Stockholm Sweden,1
Malaysia ",1
Jay Park,1
Seoul Mnet,1
San Juan,1
T-ara,1
Inkigayo,1
Icheon,1
America ",1
Brighton,1
Channel V Thailand,1
Devil ",1
Labels Rock,1
Korean-American,1
Chad Future,1
Camp Expedition",1
Son Dam,1
Olympic Hall,1
Bugis Square,1
Central Park,1
K-pop,1
Dominican Republic,1
Oh,1
Uganda,1
Univision,1
Hiroshima,1
