Location,Occur
Japan,12
Random,8
Spring,7
Spring Up,6
Seoul,6
Tokyo,6
Ireland,6
Los Angeles,6
Osaka,5
South Korea,5
Singapore,5
Alaska,5
Asia,5
Athens,4
Thailand,4
North America,4
Rock,4
Macedonia,4
China,4
Korea,4
Apink,4
Seven Springs,3
Greece,3
United States,3
United Kingdom,3
Dublin,3
New York City,3
England,2
Cambridge,2
Rocky,2
Britain,2
Madrid,2
Taiwan,2
Germany,2
Vancouver,2
Hong Kong,2
Hamburg,2
Dallas,2
Shanghai,2
Le Club,2
M'era Luna,2
El,2
Le Galaxie,2
France,2
San Francisco,2
Manchester,2
Mexico,2
Belgrade,1
La Pequeña,1
Song,1
Boston,1
Labels,1
Hanoi,1
Beijing,1
Canada,1
Hollywood,1
Belgium,1
Bloom,1
D.Dreams Sound,1
London,1
Toronto,1
Sydney,1
May,1
Thailand Turkey United Kingdom United States,1
the Netherlands,1
Le Galaxie’s,1
Vietnam,1
As,1
Sweden,1
Gyeongbuk Province,1
Yijo,1
Blue,1
Jugovizija,1
N/A Spring,1
Fangoria,1
Spain,1
Vizit Korea,1
Australia,1
Red River,1
Irvine,1
Moon Bin,1
Montreal,1
Place,1
Labels Moon,1
Malaysia,1
Chungnam Province,1
Melbourne,1
Channel Concerts,1
Vulcano,1
La,1
Bristol,1
Faderhead’s,1
Glastonbury,1
1st Asia,1
El Paso,1
Forbes Korea,1
Europe,1
Wave-Gotik-Treffen,1
Irish,1
Western Europe,1
Pakistan Philippines Russia,1
Venus,1
Brave,1
Italy,1
Frankfurt,1
Manila,1
Cleveland,1
Celluloide,1
Minneapolis,1
Rainbow,1
America,1
Serbia,1
Garden,1
Chicago,1
Philippines,1
New Jersey,1
Indonesia Hong Kong,1
Hiroshima,1
Tin Pan Alley,1
Indonesia,1
