Year,Occur
2009,56
2010,55
2016,51
2012,50
2011,47
2008,46
2017,46
2014,45
2018,43
2013,42
2007,41
2003,41
2015,38
2006,37
2004,34
2005,31
2002,30
2001,29
2000,28
1999,25
1998,24
1996,21
1997,19
1995,19
1994,18
1992,15
1993,14
1991,14
1986,10
1989,10
1988,8
1990,7
1983,7
1978,6
1985,6
1970,5
1987,5
1954,5
1967,5
1976,4
1974,4
1979,4
1977,4
1984,4
1982,4
1981,4
1980,4
1957,4
1962,4
1975,3
1930,3
1973,3
1972,3
1905,2
1953,2
1951,2
1959,2
1958,2
1956,2
1955,2
1964,2
1926,2
1968,2
1498,1
1971,1
1178,1
1939,1
1948,1
1946,1
1910,1
1950,1
1476,1
1232,1
1914,1
1965,1
1963,1
1960,1
1969,1
