Year,Occur
2017,219
2010,198
2011,186
2018,186
2009,185
2013,184
2014,180
2016,177
2012,176
2015,176
2008,173
2007,173
2006,167
2005,154
2004,140
2003,135
2000,124
2001,116
2002,113
1999,111
1998,98
1996,93
1994,93
1997,89
1995,81
1991,79
1990,77
1992,77
1988,71
1993,70
1987,69
1989,65
1978,53
1961,52
1970,51
1986,51
1984,51
1962,48
1972,48
1973,47
1980,47
1969,46
1985,46
1964,45
1960,45
1983,45
1968,44
1963,43
1982,43
1959,42
1974,42
1967,41
1958,40
1965,37
1971,36
1979,36
1977,36
1981,36
1966,34
1500,32
1976,31
1957,29
1956,29
1955,26
1954,24
1975,24
1953,22
1952,12
1940,10
1937,9
1943,9
1945,9
1950,9
1930,8
1938,8
1951,8
1936,7
1942,7
1949,7
1001,6
1815,6
1934,6
1941,6
1946,6
1921,5
1932,5
1931,5
1948,5
1905,4
1918,4
1914,4
1928,4
1926,4
1935,4
1944,4
1861,4
1874,4
1107,3
1906,3
1917,3
1927,3
1939,3
1818,3
1888,3
1899,3
1907,2
1903,2
1900,2
1919,2
1910,2
1915,2
1911,2
1010,2
1920,2
1929,2
1925,2
1933,2
1822,2
1947,2
2022,2
1062,2
1852,2
1865,2
1871,2
1870,2
1770,2
1885,2
1779,2
1540,2
1458,1
1214,1
1909,1
1908,1
1473,1
1110,1
1103,1
1902,1
1108,1
1481,1
1114,1
1476,1
1232,1
1111,1
1913,1
1912,1
1130,1
1006,1
1005,1
1003,1
1002,1
1924,1
1923,1
1141,1
1019,1
1139,1
1014,1
1013,1
1819,1
1817,1
1816,1
1813,1
1812,1
1275,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1830,1
1038,1
1037,1
1843,1
1288,1
1849,1
1847,1
1605,1
1187,1
1066,1
1065,1
1061,1
1854,1
1853,1
1610,1
1178,1
1859,1
1863,1
1860,1
1505,1
1867,1
1080,1
1088,1
1876,1
1873,1
2048,1
1079,1
1879,1
1878,1
1099,1
1890,1
1094,1
1767,1
1882,1
1760,1
1889,1
1405,1
1898,1
1777,1
1894,1
1893,1
1530,1
1892,1
1788,1
1304,1
1786,1
1308,1
1798,1
1313,1
1795,1
1438,1
1450,1
1688,1
1201,1
