Year,Occur
2017,250
2010,222
2011,214
2009,209
2018,205
2008,200
2007,200
2013,199
2015,194
2006,192
2012,190
2016,189
2014,188
2005,181
2004,152
2003,146
2000,135
1999,132
2001,125
2002,119
1998,112
1996,112
1997,109
1994,106
1995,101
1990,96
1992,92
1993,91
1991,91
1988,78
1987,74
1989,74
1967,58
1986,58
1978,57
1970,56
1968,55
1984,55
1972,54
1961,53
1969,53
1980,52
1962,51
1983,51
1973,49
1985,49
1982,49
1960,48
1959,45
1963,45
1974,44
1971,44
1958,43
1964,43
1965,41
1981,41
1979,39
1977,38
1966,36
1956,35
1976,34
1957,33
1500,32
1955,29
1975,26
1954,25
1953,23
1952,13
1940,10
1950,10
1937,9
1943,9
1945,9
1930,8
1938,8
1949,8
1951,8
1001,7
1936,7
1942,7
1946,7
1815,6
1934,6
1941,6
1948,6
1921,5
1932,5
1905,4
1918,4
1914,4
1928,4
1926,4
1931,4
1935,4
1944,4
1861,4
1874,4
1107,3
1906,3
1917,3
1920,3
1927,3
1939,3
1818,3
1888,3
1899,3
1907,2
1903,2
1900,2
1919,2
1910,2
1915,2
1911,2
1010,2
1929,2
1925,2
1933,2
1822,2
1947,2
2022,2
1062,2
1852,2
1865,2
1871,2
1870,2
1770,2
1885,2
1779,2
1540,2
1458,1
1214,1
1909,1
1908,1
1473,1
1110,1
1345,1
1103,1
1902,1
1108,1
1481,1
1114,1
1476,1
1232,1
1111,1
1913,1
1912,1
1011,1
1130,1
1006,1
1005,1
1003,1
1002,1
1924,1
1923,1
1141,1
1019,1
1139,1
1014,1
1013,1
1819,1
1817,1
1816,1
1813,1
1812,1
1275,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1830,1
1038,1
1037,1
1843,1
1288,1
1849,1
1607,1
1847,1
1605,1
1187,1
1066,1
1065,1
1061,1
1854,1
1853,1
1610,1
1178,1
1859,1
1617,1
1863,1
1860,1
1505,1
1867,1
1080,1
1088,1
1876,1
1873,1
2048,1
1079,1
1879,1
1878,1
1099,1
1890,1
1094,1
1767,1
1882,1
1760,1
1889,1
1405,1
1526,1
1898,1
1777,1
1894,1
1893,1
1530,1
1892,1
1788,1
1304,1
1786,1
1308,1
1798,1
1313,1
1795,1
1552,1
1450,1
1688,1
1201,1
