Year,Occur
2017,269
2010,257
2011,243
2007,236
2009,234
2008,225
2013,223
2018,217
2015,215
2012,213
2016,212
2006,211
2005,211
2014,209
2004,186
2003,174
2000,164
1999,163
2002,147
2001,142
1997,142
1998,135
1996,135
1994,124
1995,122
1993,110
1990,106
1991,105
1992,100
1987,83
1988,83
1989,82
1986,64
1983,64
1984,61
1978,58
1985,57
1980,54
1973,53
1982,53
1968,52
1972,52
1969,51
1970,49
1967,47
1961,46
1974,46
1981,46
1962,44
1971,44
1964,42
1979,42
1959,41
1965,40
1960,40
1977,40
1976,39
1963,38
1958,37
1500,32
1957,30
1966,30
1956,29
1975,28
1955,26
1954,23
1953,21
1940,10
1949,10
1952,9
1930,8
1937,8
1950,8
1001,7
1943,7
1941,7
1946,7
1951,7
1939,6
1815,6
1928,5
1948,5
1926,4
1932,4
1931,4
1938,4
1936,4
1934,4
1942,4
1945,4
1861,4
1874,4
1900,3
1918,3
1917,3
1914,3
1929,3
1927,3
1818,3
1870,3
1888,3
1899,3
1906,2
1903,2
1910,2
1915,2
1920,2
1002,2
1925,2
1935,2
1933,2
1822,2
1947,2
1944,2
2022,2
1062,2
1852,2
1865,2
1871,2
1770,2
1885,2
1540,2
1458,1
1214,1
1909,1
1908,1
1473,1
1110,1
1345,1
1907,1
1905,1
1902,1
1108,1
1919,1
1481,1
1476,1
1232,1
1111,1
1913,1
1912,1
1911,1
1011,1
1010,1
1130,1
1005,1
1003,1
1924,1
1923,1
1141,1
1019,1
1139,1
1014,1
1013,1
1819,1
1817,1
1816,1
1813,1
1275,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1830,1
1038,1
1037,1
1843,1
1288,1
1849,1
1607,1
1847,1
1605,1
1066,1
1065,1
1061,1
1854,1
1853,1
1610,1
1178,1
1859,1
1617,1
1863,1
1860,1
1505,1
1867,1
1080,1
1088,1
1876,1
1875,1
1873,1
2048,1
1079,1
1879,1
1878,1
1890,1
1882,1
1760,1
1889,1
1405,1
1526,1
1898,1
1894,1
1893,1
1530,1
1892,1
1788,1
1304,1
1786,1
1798,1
1313,1
1795,1
1552,1
1450,1
1688,1
1201,1
