Year,Occur
2017,442
2010,395
2018,377
2011,375
2009,368
2013,363
2016,358
2012,357
2007,356
2015,355
2014,353
2006,348
2008,347
2005,325
2004,288
2003,262
1999,255
2000,248
2001,235
2002,235
1998,213
1997,206
1996,199
1995,178
1994,173
1993,157
1992,142
1991,141
1990,138
1988,124
1989,113
1987,112
1986,93
1983,91
1984,88
1985,84
1978,83
1962,77
1961,76
1980,76
1970,75
1982,74
1981,71
1972,70
1960,67
1979,67
1969,66
1973,66
1963,65
1968,65
1977,65
1967,64
1964,62
1974,62
1959,60
1958,60
1971,60
1976,58
1965,55
1975,48
1957,47
1966,47
1956,42
1955,39
1500,33
1954,31
1953,29
1932,16
1940,16
1952,16
1949,14
1950,14
1951,13
1943,12
1941,12
1930,11
1937,10
1939,9
1938,9
1936,9
1946,9
1945,9
1914,8
1920,8
1001,8
1934,8
1942,8
1907,7
1919,7
1928,7
2021,7
1905,6
1918,6
1921,6
1929,6
1926,6
1925,6
1924,6
1931,6
1815,6
1948,6
1944,6
1887,6
1903,5
1917,5
1927,5
1900,4
1915,4
1912,4
1935,4
1861,4
1874,4
1908,3
1107,3
1906,3
1910,3
1916,3
1913,3
1911,3
1004,3
1002,3
1818,3
1933,3
2020,3
1849,3
1870,3
2046,3
1888,3
1899,3
1898,3
1894,3
1909,2
1904,2
1902,2
1111,2
1010,2
1008,2
1006,2
1005,2
1003,2
1923,2
1922,2
1013,2
1822,2
1947,2
2022,2
2019,2
1062,2
1852,2
1865,2
1877,2
1871,2
1770,2
1885,2
1881,2
1779,2
1540,2
1458,1
1457,1
1214,1
1473,1
1110,1
1345,1
1103,1
1108,1
1481,1
1114,1
1476,1
1232,1
1011,1
1494,1
1130,1
1370,1
1009,1
1141,1
1019,1
1139,1
1138,1
1016,1
1015,1
1498,1
1014,1
1819,1
1817,1
1816,1
1813,1
1812,1
1275,1
1269,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1832,1
1830,1
1038,1
1037,1
1843,1
1288,1
1607,1
1847,1
1605,1
2034,1
1187,1
1066,1
1065,1
1061,1
1854,1
1853,1
1610,1
1178,1
1739,1
1859,1
1617,1
1857,1
1863,1
1860,1
1748,1
1505,1
1867,1
1504,1
1080,1
1088,1
1876,1
1875,1
1873,1
2048,1
1079,1
1879,1
1878,1
1099,1
1890,1
1094,1
1767,1
1882,1
1760,1
1889,1
1405,1
1526,1
1777,1
1893,1
1530,1
1892,1
1792,1
1788,1
1304,1
1786,1
1300,1
1309,1
1308,1
1798,1
1313,1
1795,1
1552,1
1438,1
1450,1
1688,1
1201,1
1320,1
