Year,Occur
2017,250
2010,211
2011,202
2009,199
2015,198
2018,195
2014,194
2016,193
2008,190
2013,189
2007,188
2006,188
2012,187
2005,172
2004,153
2003,145
2000,143
2001,133
1999,123
2002,120
1998,109
1994,105
1997,104
1996,104
1995,93
1991,89
1990,88
1992,81
1993,79
1988,78
1987,74
1989,69
1961,60
1972,59
1986,59
1962,58
1984,58
1978,57
1983,56
1967,55
1985,55
1960,54
1970,54
1980,54
1963,52
1964,51
1969,49
1973,49
1982,48
1958,47
1981,47
1959,46
1968,46
1974,43
1971,43
1965,42
1979,40
1977,40
1976,37
1966,36
1956,34
1957,33
1500,32
1955,30
1975,28
1954,26
1953,24
1952,13
1940,12
1943,11
1945,11
1937,10
1938,9
1949,9
1951,9
1930,8
1942,8
1950,8
1001,7
1936,7
1941,7
1931,6
1815,6
1934,6
1946,6
1907,5
1921,5
1928,5
1926,5
1932,5
1939,5
1948,5
1944,5
1905,4
1903,4
1918,4
1914,4
1927,4
1935,4
1861,4
1874,4
1107,3
1906,3
1919,3
1917,3
1929,3
1818,3
2046,3
1888,3
1899,3
1900,2
1910,2
1915,2
1913,2
1912,2
1911,2
1010,2
1920,2
1925,2
1933,2
1822,2
1947,2
2022,2
1062,2
1852,2
1865,2
1871,2
1870,2
1770,2
1885,2
1779,2
1540,2
1320,2
1458,1
1457,1
1214,1
1909,1
1908,1
1473,1
1110,1
1103,1
1902,1
1108,1
1481,1
1114,1
1476,1
1232,1
1111,1
1130,1
1008,1
1006,1
1005,1
1003,1
1002,1
1924,1
1923,1
1009,1
1141,1
1019,1
1139,1
1014,1
1013,1
1819,1
1817,1
1816,1
1813,1
1812,1
1275,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1830,1
1038,1
1037,1
1837,1
1843,1
1288,1
1849,1
1607,1
1847,1
1605,1
1187,1
1066,1
1065,1
1061,1
1854,1
1853,1
1610,1
1178,1
1859,1
1617,1
1863,1
1860,1
1505,1
1867,1
1080,1
1088,1
1876,1
1873,1
2048,1
1079,1
1879,1
1878,1
1099,1
1890,1
1094,1
1767,1
1882,1
1760,1
1889,1
1405,1
1898,1
1777,1
1894,1
1893,1
1530,1
1892,1
1788,1
1304,1
1786,1
1308,1
1798,1
1313,1
1795,1
1552,1
1450,1
1688,1
1201,1
