Year,Occur
2017,117
2011,100
2013,98
2010,96
2008,95
2009,91
2007,91
2016,90
2015,88
2018,86
2012,83
2006,82
2014,82
2005,78
1999,72
2003,69
2004,63
1996,61
2002,60
1997,59
2001,57
1998,56
2000,56
1990,52
1994,51
1993,49
1995,48
1991,47
1992,45
1987,44
1988,39
1967,37
1984,36
1989,36
1500,32
1980,32
1969,32
1986,31
1968,31
1970,30
1983,30
1972,29
1982,29
1978,28
1985,27
1974,26
1973,26
1981,26
1976,24
1965,24
1958,22
1962,22
1971,21
1979,21
1964,21
1977,19
1960,19
1975,18
1954,18
1956,18
1961,18
1966,18
1953,17
1957,17
1955,17
1959,16
1963,15
1951,8
1950,7
1930,6
1001,5
1861,4
1949,4
1952,4
1926,3
1932,3
1931,3
1942,3
1940,3
1948,3
1907,2
1914,2
1010,2
1928,2
1927,2
1938,2
1937,2
1936,2
1934,2
1933,2
1946,2
2022,2
1065,1
1214,1
1178,1
1107,1
1345,1
1103,1
1906,1
1905,1
1903,1
1505,1
1080,1
1088,1
1476,1
1079,1
1232,1
1111,1
1099,1
1011,1
1094,1
1920,1
1003,1
1929,1
1925,1
1405,1
1139,1
1014,1
1939,1
1275,1
1943,1
1941,1
1026,1
1944,1
1037,1
1438,1
1201,1
1288,1
