Year,Occur
2017,235
2010,225
2011,213
2009,205
2007,205
2008,201
2012,188
2005,187
2006,184
2016,184
2014,181
2013,181
2015,175
2018,173
2004,164
1999,154
2003,147
2002,141
2000,139
1997,138
1996,128
1998,121
2001,120
1995,112
1994,112
1993,100
1991,94
1990,93
1992,90
1987,76
1989,73
1988,73
1983,59
1986,58
1984,57
1985,50
1982,50
1978,48
1980,48
1969,47
1973,45
1972,44
1968,43
1974,41
1970,41
1981,41
1967,40
1976,39
1971,39
1979,38
1977,33
1964,33
1965,32
1961,30
1962,29
1975,28
1963,27
1960,27
1958,26
1966,26
1959,24
1957,22
1954,19
1956,19
1955,19
1953,18
1949,8
1930,7
1940,7
1950,7
1942,5
1941,5
1948,5
1952,5
1951,5
1861,4
1001,4
1928,4
1939,4
1937,4
1943,4
1946,4
1929,3
1926,3
1932,3
1931,3
1938,3
1934,3
1500,2
1906,2
1914,2
1002,2
1927,2
1936,2
1933,2
1540,2
1945,2
1944,2
2022,2
1065,1
1457,1
1214,1
1178,1
1617,1
1909,1
1345,1
1907,1
1902,1
1505,1
1900,1
1080,1
1088,1
1910,1
1875,1
1476,1
1079,1
1232,1
1870,1
1111,1
1913,1
1912,1
1011,1
1890,1
1010,1
1008,1
1920,1
1003,1
1925,1
1009,1
1405,1
1526,1
1139,1
1138,1
1014,1
1935,1
1275,1
1304,1
1026,1
1389,1
1313,1
1037,1
1552,1
1450,1
1288,1
1607,1
