Year,Occur
2017,410
2010,376
2011,362
2012,350
2009,344
2007,343
2018,343
2013,343
2015,342
2016,331
2014,325
2008,321
2006,319
2005,309
2004,270
2003,252
1999,244
2000,232
2002,227
2001,225
1998,204
1997,197
1996,191
1995,172
1994,165
1993,150
1991,136
1992,135
1990,132
1988,115
1989,111
1987,105
1983,90
1986,89
1984,87
1985,80
1978,78
1982,75
1970,69
1981,69
1980,68
1962,67
1972,67
1979,65
1977,64
1961,63
1968,63
1974,62
1973,61
1960,60
1963,59
1969,59
1967,59
1964,56
1971,56
1958,55
1976,55
1959,52
1965,52
1975,49
1966,47
1957,45
1956,36
1955,35
1500,33
1954,29
1953,25
1932,14
1950,14
1952,13
1940,12
1949,12
1930,10
1937,10
1941,10
1907,9
1943,9
1946,9
1945,9
1951,9
1914,8
1920,8
1939,8
1938,8
1934,8
1919,7
1001,7
2021,7
1905,6
1918,6
1921,6
1929,6
1928,6
1926,6
1925,6
1936,6
1815,6
1942,6
1948,6
1944,6
1887,6
1924,5
1931,5
1903,4
1917,4
1915,4
1912,4
1927,4
1935,4
1861,4
1874,4
1908,3
1107,3
1906,3
1900,3
1910,3
1916,3
1913,3
1911,3
1004,3
1002,3
1818,3
1933,3
1947,3
2020,3
1849,3
1870,3
2046,3
1888,3
1899,3
1898,3
1909,2
1904,2
1902,2
1111,2
1010,2
1008,2
1005,2
1003,2
1923,2
1922,2
1822,2
2022,2
2019,2
1062,2
1852,2
1865,2
1877,2
1871,2
1770,2
1881,2
1894,2
1779,2
1540,2
1458,1
1457,1
1214,1
1473,1
1110,1
1345,1
1103,1
1108,1
1481,1
1476,1
1232,1
1011,1
1494,1
1130,1
1370,1
1006,1
1009,1
1141,1
1019,1
1139,1
1138,1
1016,1
1015,1
1498,1
1014,1
1013,1
1819,1
1817,1
1816,1
1813,1
1812,1
1269,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1832,1
1830,1
1038,1
1037,1
1843,1
1607,1
1847,1
1605,1
2034,1
1187,1
1066,1
1061,1
1854,1
1853,1
1610,1
1178,1
1739,1
1859,1
1617,1
1857,1
1863,1
1860,1
1748,1
1505,1
1867,1
1504,1
1080,1
1088,1
1876,1
1875,1
1873,1
1079,1
1879,1
1878,1
1099,1
1890,1
1094,1
1882,1
1760,1
1405,1
1526,1
1777,1
1893,1
1530,1
1892,1
1792,1
1788,1
1304,1
1786,1
1300,1
1309,1
1798,1
1313,1
1795,1
1552,1
1438,1
1450,1
1688,1
1201,1
1320,1
