Year,Occur
2017,110
2007,100
2015,99
2009,97
2010,96
2011,95
2006,92
2012,91
2014,89
2013,89
2008,87
2018,85
2005,83
2004,83
2016,82
2000,74
1999,72
2001,71
2003,70
2002,69
1997,62
1996,56
1998,55
1995,51
1994,51
1990,38
1993,38
1991,37
1987,34
1992,31
1989,30
1988,30
1963,28
1983,27
1985,26
1962,25
1972,24
1986,24
1978,23
1981,22
1964,22
1961,22
1960,22
1973,20
1982,20
1967,20
1979,19
1976,18
1977,18
1984,18
1980,18
1959,17
1970,16
1965,16
1974,15
1971,15
1958,15
1969,15
1966,15
1975,14
1968,14
1957,13
1932,12
1955,12
1954,10
1956,8
1887,6
1930,6
1815,6
1949,6
1945,6
1953,6
1950,6
1920,5
1926,5
1925,5
1924,5
1939,5
1933,5
1941,5
1940,5
1946,5
1907,4
1874,4
1929,4
1928,4
1944,4
1951,4
1320,4
1905,3
1919,3
2046,3
1918,3
1914,3
1888,3
1899,3
1898,3
1931,3
1818,3
1938,3
1937,3
1943,3
1942,3
1849,3
1062,2
1852,2
1865,2
1871,2
1870,2
1917,2
1915,2
1912,2
1770,2
1921,2
1002,2
1001,2
1881,2
1927,2
1923,2
1922,2
1894,2
1935,2
1779,2
1822,2
1948,2
1947,2
1952,2
1854,1
1458,1
1853,1
1457,1
1859,1
1617,1
1857,1
1909,1
1908,1
1473,1
1863,1
1860,1
1904,1
1903,1
1900,1
1867,1
1481,1
1910,1
1876,1
1873,1
1476,1
1879,1
1878,1
1911,1
1008,1
1882,1
1760,1
1009,1
1526,1
1777,1
1498,1
1893,1
1530,1
1892,1
1819,1
1817,1
1816,1
1936,1
1813,1
1934,1
1788,1
1786,1
1389,1
1826,1
1823,1
1833,1
1832,1
1798,1
1830,1
1795,1
1552,1
1450,1
1843,1
1688,1
1607,1
1847,1
