Year,Occur
2010,70
2007,68
2004,66
2011,65
2005,63
2009,62
1999,61
2017,60
2008,59
2006,59
2012,57
1997,56
2013,56
1996,54
2018,53
1998,52
2002,52
2001,51
2000,50
2016,50
2014,48
1995,47
2003,47
2015,46
1993,43
1994,34
1992,33
1991,30
1990,27
1989,23
1988,20
1987,16
1984,16
1979,15
1978,14
1982,14
1986,12
1983,12
1980,12
1985,11
1976,10
1977,9
1981,9
1973,8
1972,8
1975,7
1969,7
1974,5
1971,5
1955,5
1949,4
1953,4
1961,4
1970,3
1952,3
2046,3
1959,3
1958,3
1957,3
1964,3
1968,3
1931,2
1954,2
1951,2
1956,2
1963,2
1962,2
1967,2
2030,1
1932,1
1930,1
1894,1
1934,1
1933,1
1345,1
1300,1
2037,1
1875,1
1870,1
1914,1
1890,1
2020,1
1960,1
1002,1
1320,1
1929,1
