Year,Occur
2017,391
2010,370
2011,354
2012,340
2009,340
2007,340
2018,338
2013,330
2015,326
2016,323
2008,317
2014,316
2006,313
2005,307
2004,272
2003,251
1999,239
2000,234
2002,225
2001,220
1998,206
1997,196
1996,189
1995,170
1994,165
1993,151
1991,135
1992,134
1990,130
1988,112
1989,110
1987,104
1986,89
1983,86
1984,85
1985,79
1978,77
1982,73
1970,68
1962,67
1980,67
1981,66
1972,65
1979,65
1961,63
1977,62
1968,61
1973,59
1963,58
1960,58
1969,58
1974,58
1967,57
1958,55
1964,55
1976,55
1971,54
1965,52
1959,51
1975,47
1966,45
1957,43
1956,36
1955,34
1500,33
1954,27
1953,25
1932,14
1952,13
1950,13
1940,12
1949,11
1930,10
1937,10
1941,10
1907,9
1914,8
1920,8
1939,8
1938,8
1934,8
1943,8
1945,8
1951,8
1919,7
1001,7
1946,7
2021,7
1905,6
1918,6
1921,6
1929,6
1928,6
1926,6
1925,6
1936,6
1815,6
1942,6
1887,6
1924,5
1931,5
1948,5
1944,5
1903,4
1917,4
1915,4
1912,4
1927,4
1861,4
1874,4
1908,3
1107,3
1906,3
1900,3
1910,3
1916,3
1913,3
1911,3
1004,3
1002,3
1818,3
1935,3
2020,3
1849,3
1870,3
2046,3
1888,3
1899,3
1898,3
1894,3
1909,2
1904,2
1902,2
1111,2
1010,2
1008,2
1005,2
1003,2
1923,2
1922,2
1933,2
1822,2
1947,2
2022,2
2019,2
1062,2
1852,2
1865,2
1877,2
1871,2
1770,2
1881,2
1779,2
1458,1
1457,1
1214,1
1473,1
1110,1
1345,1
1103,1
1108,1
1481,1
1476,1
1232,1
1011,1
1494,1
1130,1
1370,1
1006,1
1009,1
1141,1
1019,1
1139,1
1138,1
1016,1
1015,1
1498,1
1014,1
1013,1
1819,1
1817,1
1816,1
1813,1
1812,1
1269,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1832,1
1830,1
1038,1
1037,1
1843,1
1607,1
1847,1
1605,1
2034,1
1187,1
1066,1
1061,1
1854,1
1853,1
1610,1
1178,1
1739,1
1859,1
1617,1
1857,1
1863,1
1860,1
1748,1
1505,1
1867,1
1504,1
1080,1
1088,1
1876,1
1875,1
1873,1
1079,1
1879,1
1878,1
1099,1
1890,1
1094,1
1882,1
1760,1
1405,1
1526,1
1777,1
1893,1
1530,1
1892,1
1792,1
1788,1
1304,1
1786,1
1300,1
1540,1
1309,1
1798,1
1313,1
1795,1
1552,1
1438,1
1450,1
1688,1
1201,1
1320,1
