Year,Occur
2007,77
2010,74
2005,71
2011,70
2004,70
2006,68
2017,68
2012,66
2009,66
2018,65
2002,64
1999,64
2013,64
2008,62
1997,61
2001,59
2016,59
1998,58
1996,58
1995,57
2014,56
2003,54
2000,53
2015,52
1993,46
1994,39
1992,36
1991,35
1990,28
1989,27
1987,25
1988,20
1984,17
1979,15
1986,15
1978,14
1983,14
1982,14
1980,13
1985,12
1976,11
1981,10
1973,9
1972,9
1977,9
1969,9
1975,7
1974,6
1971,6
1968,5
1949,4
1967,4
1970,3
1953,3
1952,3
1951,3
2046,3
1964,3
1946,2
1959,2
1957,2
1955,2
1963,2
1962,2
1966,2
2030,1
1930,1
1894,1
1934,1
1345,1
2037,1
1954,1
1875,1
1870,1
1958,1
1914,1
1956,1
1890,1
2020,1
1888,1
1965,1
1961,1
1960,1
1002,1
1320,1
1929,1
1923,1
