Year,Occur
2011,69
2010,69
2009,68
2007,68
2005,68
2004,64
2012,63
2008,62
2006,60
2013,59
1997,58
1999,58
2017,58
2002,57
2018,55
1998,54
1996,54
2016,54
2014,54
2000,52
2001,50
2003,50
2015,50
1995,48
1993,44
1992,37
1994,34
1991,29
1990,28
1989,23
1988,22
1987,18
1984,18
1986,17
1978,16
1982,16
1979,14
1980,14
1976,13
1985,12
1983,12
1973,10
1977,9
1981,9
1974,8
1972,8
1975,7
1969,6
1971,5
1954,5
1967,5
1949,4
1953,4
1964,4
1962,4
1930,3
1970,3
2046,3
1959,3
1957,3
1968,3
1905,2
1951,2
1958,2
1956,2
1963,2
2030,1
1894,1
1939,1
1909,1
1345,1
2037,1
1948,1
1946,1
1875,1
1476,1
1870,1
1914,1
1955,1
1890,1
2020,1
1960,1
1002,1
1320,1
1926,1
