Year,Occur
2010,77
2009,76
2007,75
2011,74
2004,74
2005,73
2012,70
2008,70
2013,70
2006,66
2017,65
1999,62
2014,59
2018,58
2001,57
2002,57
2016,57
1997,56
1998,55
2015,55
2000,54
1996,54
2003,53
1995,48
1993,42
1994,36
1992,35
1990,29
1991,29
1989,22
1988,22
1987,18
1986,16
1984,16
1982,16
1979,15
1978,15
1976,12
1985,12
1983,11
1980,11
1967,10
1975,9
1968,9
1973,8
1969,8
1971,7
1977,7
1981,7
1974,6
1970,6
1972,4
1949,4
2046,3
1959,3
1953,2
1951,2
1964,2
2030,1
1894,1
1345,1
2037,1
1875,1
1870,1
1914,1
1957,1
1912,1
1890,1
2020,1
1963,1
1962,1
1002,1
1320,1
1001,1
