Year,Occur
2017,97
2013,81
2010,80
2009,80
2007,80
2008,77
2011,76
2015,76
2012,73
2014,73
2005,70
2006,68
2018,68
2016,68
1999,60
2003,60
2004,58
1994,52
1996,51
1997,49
2000,47
1998,45
1995,45
2002,45
2001,43
1990,42
1993,41
1991,39
1992,35
1988,33
1989,32
1987,27
1982,26
1974,25
1983,25
1969,25
1968,25
1967,24
1980,23
1972,22
1984,22
1973,21
1970,21
1978,21
1976,19
1971,19
1981,19
1986,18
1979,17
1985,17
1975,15
1977,14
1965,13
1961,13
1954,12
1960,12
1953,11
1958,11
1957,11
1964,11
1966,11
1956,10
1955,9
1962,9
1959,8
1963,8
1930,6
1938,6
1945,6
1952,5
1861,4
1936,4
1934,4
1943,4
1942,4
1941,4
1949,4
1950,4
1001,3
1932,3
1937,3
1940,3
1948,3
1946,3
1944,3
1951,3
1107,2
1914,2
1928,2
1926,2
1931,2
1935,2
1540,2
1187,1
1065,1
1906,1
1505,1
1080,1
1088,1
1476,1
1079,1
1111,1
1912,1
1011,1
1920,1
1002,1
1929,1
1927,1
1925,1
1405,1
1139,1
1014,1
1939,1
1933,1
1275,1
1026,1
1389,1
1037,1
1288,1
