Year,Occur
2017,56
1961,48
1958,47
1962,46
1960,39
1959,37
2010,36
1957,36
2018,34
1963,34
2006,32
1956,31
2015,28
1964,27
2008,26
1955,26
1978,25
2016,25
2012,23
2011,23
1954,23
2013,23
1965,22
2014,22
2000,20
1967,20
2009,18
1953,18
2002,18
1966,18
1973,16
1993,16
2003,16
1969,16
2004,15
1970,14
1990,14
1968,14
1987,13
1992,13
2001,13
1952,13
1989,12
1991,12
1999,12
1972,11
1984,11
1983,11
1980,11
1940,11
1979,10
2007,10
2005,10
1977,9
1985,9
1982,9
1981,9
1998,9
1975,8
1974,8
1971,8
1988,8
1937,7
1997,6
1996,6
1994,6
1939,6
1936,6
1941,6
1949,6
1951,6
1976,5
1986,5
1995,5
1943,5
1905,4
1001,4
1935,4
1950,4
1906,3
1911,3
1938,3
1933,3
1946,3
1944,3
1914,2
1010,2
1006,2
1005,2
1003,2
1932,2
1931,2
1930,2
1013,2
1934,2
1948,2
1945,2
2022,2
1066,1
1061,1
1214,1
1110,1
1107,1
1103,1
1907,1
1108,1
1114,1
2048,1
1111,1
1099,1
1130,1
1094,1
1008,1
1002,1
1928,1
1926,1
1141,1
1019,1
1016,1
1942,1
1300,1
1025,1
1308,1
1038,1
1438,1
1201,1
