Year,Occur
2009,31
2007,31
2017,31
2006,30
2010,29
2018,29
2014,29
2011,28
2008,28
2016,27
2013,25
2012,24
2004,24
2003,23
2000,21
2002,21
2005,20
2015,20
2001,18
1999,18
1998,14
1975,10
1995,10
1976,9
1974,9
1997,9
1996,9
1959,9
1992,8
1983,7
1991,6
1971,5
1989,5
1993,5
1979,4
1990,4
1984,4
1988,4
1961,4
1960,4
1320,4
1970,3
1978,3
1987,3
1986,3
1985,3
1982,3
1981,3
1980,3
1994,3
1964,3
1962,3
1973,2
1977,2
1941,2
1965,2
1963,2
1969,2
1968,2
1967,2
1972,1
1937,1
1943,1
1949,1
1902,1
1504,1
1950,1
1234,1
1913,1
1956,1
1928,1
