Year,Occur
2018,259
2017,257
2016,215
2011,213
2010,212
2013,211
2012,204
2015,203
2009,196
2006,196
2014,193
2008,182
2007,182
2005,170
2004,166
2003,152
2000,149
2001,135
1999,135
2002,133
1998,117
1996,108
1997,107
1995,100
1994,90
1993,88
1990,81
1992,81
1991,81
1988,68
1987,67
1989,66
1961,62
1984,59
1978,58
1983,58
1958,57
1962,57
1986,57
1970,55
1960,54
1985,52
1982,50
1959,49
1963,49
1973,49
1980,49
1964,48
1969,46
1967,46
1977,46
1981,46
1968,45
1971,44
1979,44
1957,43
1965,43
1972,41
1975,39
1974,38
1956,37
1976,37
1955,35
1966,32
1954,28
1953,23
1952,14
1949,12
1941,11
1938,10
1940,10
1918,9
1911,9
1943,9
1945,9
1951,9
1950,9
1937,8
1920,7
1939,7
1919,6
1921,6
1936,6
1815,6
1944,6
1914,5
1912,5
1001,5
1928,5
1932,5
1934,5
1942,5
1946,5
1907,4
1905,4
1915,4
1930,4
1948,4
1874,4
1320,4
1107,3
1906,3
1902,3
1900,3
1910,3
1917,3
1916,3
1913,3
1004,3
1927,3
1931,3
1818,3
1935,3
1933,3
1947,3
2046,3
1899,3
1909,2
1903,2
1010,2
1008,2
1006,2
1005,2
1003,2
1002,2
1929,2
1925,2
1923,2
1013,2
1822,2
2022,2
1062,2
1852,2
1865,2
1877,2
1871,2
1870,2
1888,2
1779,2
1540,2
1457,1
1214,1
1908,1
1110,1
1103,1
1904,1
1108,1
1114,1
1234,1
1232,1
1111,1
1011,1
1494,1
1130,1
1370,1
1926,1
1924,1
1922,1
1009,1
1141,1
1019,1
1139,1
1016,1
1498,1
1819,1
1817,1
1816,1
1269,1
1026,1
1025,1
1826,1
1823,1
1833,1
1830,1
1038,1
1843,1
1849,1
1607,1
1847,1
1605,1
1187,1
1066,1
1061,1
1854,1
1853,1
1178,1
1859,1
1617,1
1500,1
1863,1
1860,1
1867,1
1876,1
1873,1
2048,1
1879,1
1878,1
1099,1
1890,1
1094,1
1882,1
1777,1
1895,1
1894,1
1893,1
1892,1
1792,1
1786,1
1300,1
1309,1
1308,1
1798,1
1552,1
1438,1
1201,1
