Year,Occur
2011,93
2017,92
2010,91
2007,90
2009,89
2006,87
2008,82
2013,82
2014,80
2004,79
2016,75
2005,74
2015,73
2012,72
2018,71
2002,64
2003,62
2000,60
1998,58
1999,56
2001,54
1996,51
1995,51
1997,48
1994,46
1990,44
1993,42
1992,42
1987,37
1991,35
1968,32
1983,31
1989,30
1978,29
1984,28
1982,28
1988,28
1986,27
1980,27
1971,23
1970,23
1979,23
1967,23
1973,22
1985,22
1981,22
1969,22
1976,21
1974,21
1972,20
1977,18
1966,18
1964,17
1975,15
1963,12
1962,11
1959,10
1965,10
1960,10
1954,9
1956,9
1945,8
1958,8
1953,7
1957,7
1955,7
1961,7
1815,6
1938,5
1874,4
1001,4
1937,4
1943,4
1942,4
1940,4
1949,4
1948,4
1320,4
1004,3
1932,3
1899,3
1818,3
1941,3
1946,3
1944,3
1950,3
1852,2
1107,2
1865,2
1500,2
1905,2
1871,2
1870,2
1918,2
1915,2
1888,2
1930,2
1939,2
1936,2
1779,2
1822,2
1951,2
1187,1
1066,1
1061,1
1854,1
1853,1
1610,1
1859,1
1617,1
1909,1
1110,1
1863,1
1860,1
1903,1
1902,1
1900,1
1867,1
1504,1
1108,1
1088,1
1910,1
1876,1
1873,1
1476,1
1234,1
1111,1
1913,1
1879,1
1878,1
1890,1
1920,1
1005,1
1882,1
1926,1
1923,1
1019,1
1777,1
1138,1
1498,1
1893,1
1892,1
1819,1
1817,1
1816,1
1935,1
1934,1
1786,1
1026,1
1025,1
1540,1
1947,1
1826,1
1823,1
1833,1
1798,1
1830,1
1038,1
1552,1
1450,1
1843,1
1849,1
1607,1
1847,1
