Year,Occur
2017,224
2010,220
2011,211
2007,207
2009,206
2008,198
2006,188
2012,186
2005,183
2014,176
2016,175
2004,169
2015,166
2018,165
2013,165
1999,154
2003,151
2000,139
2002,137
1997,123
1996,121
2001,121
1998,117
1995,106
1994,102
1993,89
1991,86
1992,84
1990,80
1989,71
1987,70
1988,68
1986,55
1984,53
1983,53
1985,49
1982,47
1978,44
1970,41
1980,40
1973,37
1971,37
1981,37
1969,36
1974,35
1972,35
1979,35
1968,34
1977,33
1976,32
1967,30
1975,24
1965,23
1964,23
1962,22
1961,21
1966,21
1958,20
1963,20
1960,20
1959,18
1957,15
1955,12
1954,9
1956,9
1953,8
1950,6
1941,5
1940,5
1949,5
1861,4
1928,4
1939,4
1943,4
1942,4
1948,4
1320,4
1929,3
1937,3
1946,3
1500,2
1906,2
1914,2
1913,2
1002,2
1001,2
1930,2
1938,2
1934,2
1540,2
1945,2
1944,2
1951,2
1457,1
1178,1
1617,1
1909,1
1908,1
1345,1
1907,1
1902,1
1900,1
1088,1
1910,1
1875,1
1234,1
1232,1
1870,1
1111,1
1912,1
1011,1
1890,1
1008,1
1927,1
1926,1
1009,1
1526,1
1932,1
1138,1
1935,1
1933,1
1275,1
1304,1
1026,1
1389,1
1952,1
1313,1
1552,1
1450,1
1288,1
1607,1
