Year,Occur
2010,90
2009,85
2011,83
2008,78
2017,74
2013,74
2007,69
2006,68
2005,65
2014,64
2015,62
2004,60
2012,58
2016,58
2018,53
1997,51
2003,51
2002,49
1998,48
1999,48
2001,48
1995,45
1994,45
1996,44
2000,44
1990,37
1993,36
1991,35
1987,33
1992,33
1989,28
1988,24
1983,22
1970,21
1984,21
1978,20
1986,20
1985,20
1980,18
1976,17
1982,17
1979,16
1958,16
1973,15
1981,14
1977,13
1969,13
1968,13
1974,12
1972,12
1971,12
1967,12
1975,11
1963,11
1964,9
1962,9
1961,9
1918,8
1914,8
1911,8
1965,8
2021,7
1921,6
1815,6
1956,6
1966,6
1917,5
1960,5
1909,4
1861,4
1907,4
1919,4
1910,4
1874,4
1912,4
1954,4
1959,4
1955,4
1903,3
1870,3
1915,3
1913,3
1920,3
1899,3
1818,3
1935,3
1952,3
1957,3
2020,3
1852,2
1865,2
1905,2
1871,2
1916,2
1888,2
1939,2
1936,2
1934,2
1822,2
1941,2
1945,2
2019,2
1065,1
1854,1
1853,1
1859,1
1863,1
1860,1
1902,1
1505,1
1900,1
1867,1
1080,1
1876,1
1873,1
1234,1
1079,1
1879,1
1878,1
1011,1
1010,1
1003,1
1882,1
1002,1
1001,1
1923,1
1405,1
1526,1
1932,1
1138,1
1014,1
1893,1
1892,1
1819,1
1817,1
1938,1
1816,1
1937,1
1812,1
1792,1
1942,1
1786,1
1948,1
1826,1
1946,1
1823,1
1833,1
1953,1
1798,1
1830,1
1951,1
1950,1
1037,1
1843,1
1849,1
1847,1
