Year,Occur
2018,37
2011,35
2007,29
2010,27
2008,27
2009,26
2012,25
2006,25
2005,24
2004,23
2000,22
2016,22
2015,22
2014,22
2017,19
2001,17
2013,17
1998,16
2003,16
2002,16
1999,16
1972,12
1986,10
1996,10
1995,10
1964,10
1960,10
1997,9
1963,9
1962,9
1961,9
1973,8
1980,8
1965,8
1969,8
1976,7
1990,7
1988,7
1994,7
1992,7
1971,6
1970,6
1977,6
1985,6
1984,6
1983,6
1989,6
1959,6
1975,5
1974,5
1987,5
1991,5
1957,5
1966,5
1979,4
1978,4
1941,4
1982,4
1981,4
1907,4
1993,4
1958,4
1968,4
1942,3
1940,3
1956,3
1062,2
1939,2
1943,2
1905,2
1945,2
1955,2
1967,2
1932,1
1617,1
1949,1
1877,1
1954,1
1952,1
1552,1
1438,1
1929,1
1607,1
1605,1
