Year,Occur
2018,85
2017,83
2010,80
2014,78
2012,72
2016,69
2011,68
2013,68
2015,66
2009,60
2007,60
2006,59
2008,58
2005,50
2001,45
2000,45
2004,44
2003,39
2002,36
1997,33
1999,33
1998,32
1994,30
1996,25
1995,24
1990,18
1987,18
1991,18
1962,18
1993,17
1963,17
1961,17
1972,16
1960,16
1983,14
1989,14
1992,14
1964,14
1988,13
1985,12
1986,11
1981,11
1959,11
1965,11
1973,10
1968,10
1967,10
1979,9
1977,9
1980,9
1971,8
1978,8
1966,8
1976,7
1984,7
1982,7
1969,7
1815,6
1974,5
1970,5
1949,5
1958,5
1907,4
1874,4
1941,4
1945,4
1320,4
1975,3
2046,3
1004,3
1899,3
1818,3
1942,3
1940,3
1956,3
1062,2
1852,2
1865,2
1500,2
1905,2
1871,2
1870,2
1918,2
1915,2
1888,2
1001,2
1929,2
1939,2
1937,2
1822,2
1943,2
1946,2
1954,2
1953,2
1952,2
1957,2
1955,2
1854,1
1458,1
1853,1
1457,1
1859,1
1473,1
1863,1
1860,1
1903,1
1900,1
1867,1
1481,1
1876,1
1873,1
1914,1
1879,1
1912,1
1878,1
1008,1
1920,1
1882,1
1928,1
1923,1
1009,1
1526,1
1932,1
1930,1
1893,1
1530,1
1892,1
1819,1
1817,1
1938,1
1816,1
1935,1
1934,1
1786,1
1389,1
1948,1
1947,1
1826,1
1823,1
1944,1
1833,1
1798,1
1830,1
1951,1
1950,1
1450,1
1843,1
1849,1
1847,1
