Year,Occur
2018,194
2017,193
2013,168
2012,164
2016,161
2015,160
2014,160
2011,152
2010,143
2006,140
2008,133
2009,131
2007,124
2005,120
2004,109
2000,107
2003,104
2002,92
2001,90
1999,88
1998,83
1996,73
1995,70
1997,68
1994,65
1993,65
1990,60
1961,58
1991,58
1992,57
1960,52
1962,51
1987,48
1988,48
1958,47
1963,47
1984,46
1989,46
1970,45
1978,45
1959,43
1964,42
1986,41
1965,40
1968,40
1967,40
1973,40
1957,39
1969,39
1983,39
1981,38
1985,37
1982,37
1980,36
1972,35
1956,34
1977,34
1955,33
1979,33
1971,31
1966,30
1975,30
1976,29
1974,28
1954,26
1953,23
1952,13
1940,10
1949,10
1918,9
1938,9
1937,9
1941,9
1945,9
1950,9
1911,8
1943,8
1951,8
1920,7
1919,6
1921,6
1815,6
1942,6
1944,6
1912,5
1001,5
1932,5
1939,5
1936,5
1934,5
1915,4
1914,4
1946,4
1874,4
1107,3
1905,3
1917,3
1916,3
1913,3
1004,3
1928,3
1930,3
1818,3
1935,3
1933,3
1948,3
1947,3
1899,3
1909,2
1907,2
1906,2
1902,2
1900,2
1910,2
1010,2
1008,2
1006,2
1005,2
1003,2
1002,2
1929,2
1927,2
1925,2
1923,2
1931,2
1822,2
2022,2
1062,2
1852,2
1865,2
1877,2
1871,2
1870,2
1888,2
1779,2
1457,1
1214,1
1908,1
1110,1
1103,1
1904,1
1903,1
1108,1
1114,1
1232,1
1111,1
1011,1
1130,1
1370,1
1926,1
1924,1
1922,1
1009,1
1141,1
1019,1
1139,1
1016,1
1013,1
1819,1
1817,1
1816,1
1269,1
1026,1
1025,1
1826,1
1823,1
1833,1
1830,1
1038,1
1843,1
1849,1
1607,1
1847,1
1605,1
1187,1
1066,1
1061,1
1854,1
1853,1
1178,1
1859,1
1617,1
1863,1
1860,1
1867,1
1876,1
1873,1
1879,1
1878,1
1099,1
1890,1
1094,1
1882,1
1777,1
1895,1
1893,1
1892,1
1786,1
1300,1
1540,1
1309,1
1308,1
1798,1
1552,1
1438,1
1201,1
