Year,Occur
2010,52
2009,46
2012,43
2016,42
2018,40
2014,39
2003,37
2015,37
2011,36
2017,36
2013,36
2007,35
2008,34
2006,34
2002,34
2004,32
2005,31
2000,27
2001,25
1999,24
1997,20
1996,20
1998,19
1995,19
1992,19
1970,17
1985,17
1994,16
1990,13
1987,13
1989,13
1988,12
1991,12
1979,11
1986,11
1961,11
1972,10
1983,10
1982,10
1993,10
1967,10
1978,9
1973,8
1977,8
1984,8
1965,8
1969,8
1976,7
1981,7
1964,7
1963,7
1962,7
1966,7
1974,6
1971,6
1959,6
1960,6
1968,6
1975,5
1980,5
1954,5
1957,5
1930,4
1958,4
1062,2
1943,2
1941,2
1940,2
1953,2
1950,2
1956,2
1955,2
1926,2
1935,1
1934,1
1907,1
1903,1
1476,1
1438,1
1890,1
1929,1
1928,1
