Year,Occur
2016,32
2003,25
1984,24
2010,24
2014,23
2012,22
2007,22
2018,22
2017,22
2009,21
2006,19
2008,18
2002,18
2015,18
2011,17
2005,17
2013,16
2004,15
1983,14
2001,12
1990,12
2000,11
1987,11
1985,11
1988,11
1994,11
1992,11
1999,11
1998,10
1997,10
1989,9
1972,8
1970,8
1996,8
1995,8
1973,7
1981,7
1967,7
1979,6
1978,6
1977,6
1986,6
1982,6
1991,6
1976,5
1974,5
1954,5
1993,5
1966,5
1962,4
1969,4
1975,3
1930,3
1971,3
1980,3
1959,3
1957,3
1965,3
1964,3
1968,3
1953,2
1958,2
1956,2
1955,2
1963,2
1960,2
1926,2
1950,1
1476,1
1438,1
