Year,Occur
2017,451
2010,419
2018,408
2011,390
2009,380
2007,380
2012,378
2016,375
2013,375
2015,373
2014,373
2006,360
2008,356
2005,344
2004,308
2003,280
2000,269
1999,266
2002,256
2001,247
1998,222
1997,220
1996,204
1995,186
1994,178
1993,162
1992,148
1991,148
1990,142
1988,120
1989,117
1987,110
1986,96
1983,91
1984,86
1978,82
1985,82
1982,76
1970,74
1962,73
1961,73
1980,73
1972,70
1981,70
1979,66
1960,65
1969,65
1968,65
1977,64
1963,63
1973,63
1967,62
1974,60
1964,59
1958,58
1971,58
1959,57
1976,56
1965,55
1966,48
1975,48
1957,47
1956,40
1955,37
1500,33
1954,29
1953,25
1952,17
1932,15
1940,14
1950,14
1949,12
1937,11
1941,11
1930,10
1938,10
1943,10
1946,10
1939,9
1936,9
1945,9
1951,9
1914,8
1934,8
1907,7
1919,7
1001,7
1942,7
2021,7
1905,6
1918,6
1921,6
1920,6
1929,6
1928,6
1926,6
1925,6
1924,6
1815,6
1948,6
1944,6
1887,6
1903,5
1917,5
1931,5
1935,5
1900,4
1910,4
1915,4
1912,4
1927,4
1861,4
1874,4
1894,4
1908,3
1107,3
1906,3
1916,3
1913,3
1911,3
1004,3
1002,3
1818,3
1933,3
1947,3
2020,3
1849,3
1870,3
2046,3
1888,3
1899,3
1898,3
1909,2
1904,2
1902,2
1111,2
1010,2
1008,2
1006,2
1005,2
1003,2
1923,2
1922,2
1822,2
2022,2
2019,2
1062,2
1852,2
1865,2
1877,2
1871,2
1770,2
1885,2
1881,2
1779,2
1540,2
1458,1
1457,1
1214,1
1473,1
1110,1
1345,1
1103,1
1108,1
1481,1
1114,1
1476,1
1232,1
1011,1
1494,1
1130,1
1370,1
1009,1
1141,1
1019,1
1139,1
1138,1
1016,1
1015,1
1498,1
1014,1
1013,1
1819,1
1817,1
1816,1
1813,1
1812,1
1275,1
1269,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1832,1
1830,1
1038,1
1037,1
1843,1
1288,1
1607,1
1847,1
1605,1
2034,1
1187,1
1066,1
1061,1
1854,1
1853,1
1610,1
1178,1
1739,1
1859,1
1617,1
1857,1
1742,1
1863,1
1860,1
1748,1
1505,1
1867,1
1504,1
1080,1
1088,1
1876,1
1875,1
1873,1
1079,1
1879,1
1878,1
1099,1
1890,1
1094,1
1882,1
1760,1
1889,1
1405,1
1526,1
1777,1
1893,1
1530,1
1892,1
1792,1
1788,1
1304,1
1786,1
1300,1
1309,1
1308,1
1799,1
1798,1
1313,1
1795,1
1552,1
1438,1
1450,1
1688,1
1201,1
1320,1
