Year,Occur
2017,568
2018,490
2010,468
2011,455
2009,446
2013,442
2016,441
2007,436
2012,435
2014,429
2015,427
2006,423
2008,421
2005,387
2004,358
2003,321
1999,310
2000,307
2002,303
2001,288
1998,265
1997,252
1996,236
1995,219
1994,197
1993,183
1992,166
1991,165
1990,160
1988,136
1989,132
1987,129
1983,104
1986,103
1984,98
1985,93
1978,89
1982,85
1962,84
1980,84
1961,80
1970,80
1981,79
1979,77
1972,76
1963,73
1969,73
1973,73
1960,72
1968,71
1977,70
1964,69
1967,69
1974,68
1971,66
1976,65
1959,64
1958,63
1965,60
1975,53
1957,50
1966,50
1956,47
1955,44
1954,37
1500,34
1953,32
1952,20
1932,16
1940,16
1949,16
1951,14
1950,14
1930,12
1937,12
1943,12
1941,12
1938,10
1936,10
1946,10
1914,9
1939,9
1945,9
1919,8
1001,8
1934,8
1942,8
1907,7
1928,7
1926,7
2021,7
1905,6
1918,6
1921,6
1920,6
1929,6
1925,6
1924,6
1931,6
1815,6
1948,6
1944,6
1887,6
1903,5
1917,5
1912,5
1927,5
1935,5
1900,4
1910,4
1915,4
1913,4
1933,4
2020,4
1861,4
1874,4
1894,4
1908,3
1107,3
1906,3
1902,3
1916,3
1911,3
1004,3
1002,3
1818,3
1947,3
1849,3
1870,3
2046,3
1888,3
1899,3
1898,3
1909,2
1904,2
1111,2
1010,2
1008,2
1006,2
1005,2
1003,2
1923,2
1922,2
1013,2
1822,2
2022,2
2019,2
1062,2
1852,2
1865,2
1877,2
1871,2
1770,2
1890,2
1885,2
1881,2
1779,2
1540,2
1320,2
1458,1
1457,1
1214,1
1473,1
1110,1
1345,1
1103,1
1108,1
1481,1
1114,1
1476,1
1234,1
1232,1
1011,1
1494,1
1130,1
1370,1
1009,1
1141,1
1019,1
1139,1
1138,1
1016,1
1015,1
1498,1
1014,1
1819,1
1817,1
1816,1
1813,1
1812,1
1275,1
1269,1
1026,1
1389,1
1025,1
1826,1
1823,1
1833,1
1832,1
1830,1
1038,1
1037,1
1837,1
1843,1
1288,1
1607,1
1847,1
1605,1
2034,1
1187,1
1066,1
1065,1
2030,1
1061,1
1854,1
1853,1
1610,1
1178,1
1739,1
1859,1
1617,1
1857,1
1742,1
1863,1
2037,1
1860,1
1748,1
1505,1
1867,1
1504,1
1080,1
1088,1
1876,1
1875,1
1873,1
2048,1
1079,1
1879,1
1878,1
1099,1
1094,1
1767,1
1882,1
1760,1
1889,1
1405,1
1526,1
1777,1
1895,1
1893,1
1530,1
1892,1
1792,1
1788,1
1304,1
1786,1
1300,1
1309,1
1308,1
1799,1
1798,1
1313,1
1795,1
1552,1
1438,1
1450,1
1688,1
1201,1
