Year,Occur
2017,138
2010,122
2011,114
2007,113
2009,111
2013,111
2008,105
2018,105
2015,105
2014,102
2006,101
2012,100
2016,97
2005,95
1999,81
2004,81
2003,79
1996,73
1997,69
1994,69
2002,65
2000,64
2001,61
1995,60
1990,58
1998,58
1991,57
1993,54
1992,54
1987,47
1988,46
1989,43
1986,38
1984,36
1983,33
1982,31
1969,31
1985,30
1968,30
1970,29
1980,29
1974,28
1972,25
1978,25
1973,24
1967,24
1976,22
1971,22
1981,22
1979,21
1965,18
1975,16
1977,16
1957,14
1961,14
1966,14
1956,13
1964,13
1960,13
1959,12
1958,12
1954,11
1953,11
1955,11
1962,11
1963,10
1930,6
1940,5
1952,5
1950,5
1861,4
1938,4
1936,4
1948,4
1001,3
1926,3
1931,3
1937,3
1942,3
1949,3
1946,3
1951,3
1914,2
1928,2
1927,2
1932,2
1939,2
1933,2
1941,2
1540,2
1065,1
1178,1
1617,1
1906,1
1505,1
1080,1
1088,1
1476,1
1079,1
1232,1
1111,1
1011,1
1920,1
1002,1
1929,1
1925,1
1405,1
1526,1
1139,1
1014,1
1935,1
1934,1
1275,1
1943,1
1304,1
1026,1
1945,1
1944,1
1313,1
1037,1
1552,1
1288,1
1607,1
