Year,Occur
2010,209
2017,206
2011,194
2007,193
2009,189
2008,181
2005,174
2012,173
2006,173
2016,165
2015,162
2014,162
2018,155
2013,155
2004,154
1999,145
2003,139
2000,131
2002,130
1997,126
1996,121
2001,110
1998,109
1994,106
1995,105
1993,91
1992,84
1991,84
1990,82
1987,69
1989,68
1988,67
1986,54
1983,53
1984,50
1985,48
1982,45
1978,43
1970,41
1980,39
1973,38
1971,37
1969,37
1974,36
1972,36
1981,36
1979,35
1968,34
1976,32
1977,31
1967,31
1965,25
1975,23
1964,23
1962,22
1966,22
1961,21
1958,20
1963,20
1960,20
1959,18
1957,15
1955,12
1954,9
1953,8
1956,8
1950,6
1941,5
1940,5
1949,5
1861,4
1928,4
1939,4
1943,4
1942,4
1948,4
1929,3
1937,3
1946,3
1500,2
1906,2
1914,2
1002,2
1001,2
1930,2
1938,2
1934,2
1540,2
1945,2
1944,2
1951,2
1457,1
1178,1
1617,1
1909,1
1345,1
1907,1
1902,1
1900,1
1088,1
1910,1
1875,1
1232,1
1870,1
1111,1
1913,1
1912,1
1011,1
1890,1
1008,1
1927,1
1926,1
1009,1
1526,1
1932,1
1138,1
1935,1
1933,1
1275,1
1304,1
1026,1
1389,1
1952,1
1313,1
1552,1
1450,1
1288,1
1607,1
