Year,Occur
2002,21
2010,17
2016,14
2006,13
2011,12
2007,12
2017,12
2018,11
2015,11
2001,10
2008,10
2013,10
2012,9
2004,9
1999,9
2014,9
1997,8
1995,8
2005,8
1993,8
2003,8
2000,7
1994,7
1998,6
2009,6
1996,6
1991,6
1990,5
1987,4
1984,4
1982,4
1920,4
1963,4
1962,4
1961,4
1972,3
1986,3
1983,3
1989,3
1992,3
1958,3
1957,3
1955,3
1965,3
1960,3
1969,3
1976,2
1975,2
1973,2
1971,2
1970,2
1977,2
1980,2
1988,2
1959,2
1956,2
1921,2
1964,2
1923,2
1967,2
1966,2
1141,1
1932,1
1974,1
1936,1
1617,1
1979,1
1978,1
1107,1
1942,1
1985,1
1103,1
1981,1
1910,1
1954,1
1953,1
1952,1
1951,1
1552,1
1870,1
1917,1
1099,1
1010,1
1130,1
1094,1
1929,1
1607,1
1925,1
1924,1
1968,1
1922,1
