Year,Occur
2018,133
2015,105
2017,104
2014,104
2016,99
2013,98
2012,96
2011,79
2008,70
2006,69
2010,68
2007,67
2009,65
2005,58
2004,57
2000,53
2003,50
2002,47
1999,45
2001,43
1998,38
1997,27
1996,24
1995,24
1993,22
1991,22
1990,21
1984,20
1988,20
1992,20
1978,18
1987,18
1983,18
1986,17
1982,17
1977,16
1980,15
1989,15
1994,15
1958,15
1969,15
1967,15
1976,14
1973,14
1972,14
1975,13
1974,13
1971,13
1960,13
1970,12
1981,12
1955,12
1964,12
1961,12
1979,11
1985,11
1959,11
1956,11
1965,11
1963,11
1968,11
1966,11
1954,10
1957,10
1953,9
1962,9
1952,6
1950,6
1949,4
1948,4
1951,4
1906,3
1917,3
1004,3
1932,3
1935,3
1940,3
1945,3
1944,3
1877,2
1931,2
1938,2
1936,2
1934,2
1943,2
1941,2
1946,2
1617,1
1902,1
1900,1
1910,1
1890,1
1926,1
1939,1
1937,1
1933,1
1942,1
1026,1
1300,1
1552,1
1607,1
1605,1
