Year,Occur
2011,75
2013,72
2007,68
2017,68
2010,67
2012,66
2015,66
2006,64
2018,64
2009,62
2005,61
2016,61
2008,60
2004,59
2014,58
2002,51
2000,48
2003,48
1998,46
1999,42
2001,41
1997,36
1500,32
1996,31
1995,27
1994,18
1990,11
1988,10
1993,10
1970,9
1989,7
1968,7
1971,6
1987,6
1992,6
1991,6
1969,6
1967,5
1972,4
1983,4
1320,4
1975,3
1973,3
1984,3
1982,3
1906,3
1965,3
1004,3
1974,2
1978,2
1986,2
1985,2
1905,2
1138,1
1015,1
1498,1
1939,1
1979,1
1792,1
1026,1
1981,1
1902,1
1504,1
1877,1
1910,1
1870,1
1913,1
1955,1
1890,1
1001,1
1966,1
