Year,Occur
2015,83
2012,79
2006,78
2010,76
2011,75
2009,74
2017,71
2005,70
2007,68
2013,67
2014,66
2008,65
1999,60
2004,60
2016,60
2003,58
2002,57
1998,52
1997,51
2001,51
2000,51
2018,50
1995,47
1996,42
1993,40
1994,37
1990,34
1987,30
1991,29
1989,26
1992,26
1983,25
1988,25
1986,24
1985,23
1968,22
1984,20
1978,19
1980,19
1976,18
1962,18
1982,17
1960,17
1966,17
1979,16
1964,16
1963,16
1981,15
1965,15
1973,14
1970,14
1969,14
1967,14
1974,12
1972,12
1971,12
1977,12
1961,12
1959,11
1958,11
1975,10
1957,10
1954,9
1956,9
1952,7
1955,7
1953,5
1861,4
1930,4
1942,4
1946,4
1950,4
1906,3
1917,3
1941,3
1948,3
1951,3
1932,2
1943,2
1940,2
1949,2
1945,2
1944,2
1178,1
1617,1
1345,1
1476,1
1234,1
1232,1
1870,1
1914,1
1913,1
1888,1
1929,1
1926,1
1925,1
1923,1
1526,1
1139,1
1138,1
1939,1
1938,1
1937,1
1934,1
1275,1
1304,1
1313,1
1552,1
1450,1
1288,1
1607,1
1605,1
