Year,Occur
2017,66
2009,63
2013,58
2011,57
2006,57
2018,57
2010,55
2005,54
2016,54
2008,53
2012,52
2007,50
1999,47
2015,47
2014,46
2002,42
2003,41
2000,40
2001,39
2004,39
1995,34
1998,32
1997,31
1996,30
1993,25
1994,24
1992,22
1990,21
1987,21
1991,20
1988,19
1989,18
1986,16
1983,15
1981,15
1984,14
1978,13
1985,13
1962,11
1974,10
1982,10
1918,9
1911,9
1971,8
1979,8
1980,8
1914,8
1964,8
1963,8
1967,8
1975,7
1977,7
1920,7
1954,7
1958,7
1955,7
2021,7
1919,6
1921,6
1957,6
1956,6
1961,6
1960,6
1968,6
1972,5
1970,5
1915,5
1912,5
1959,5
1969,5
1966,5
1976,4
1973,4
1909,4
1900,4
1910,4
1938,4
1953,4
1950,4
1965,4
1907,3
1906,3
1917,3
1916,3
1913,3
1945,3
1944,3
2020,3
1905,2
1902,2
1001,2
1929,2
1927,2
1923,2
1934,2
1940,2
2019,2
2034,1
1610,1
1739,1
1908,1
1500,1
1904,1
1748,1
1494,1
1890,1
1370,1
1002,1
1928,1
1925,1
1924,1
1922,1
1932,1
1930,1
1895,1
1939,1
1936,1
1943,1
1942,1
1941,1
1269,1
1949,1
1948,1
1309,1
1946,1
1951,1
1201,1
1320,1
1605,1
