Group,Best Category
'68_Comeback,American_blues_rock
Æter,Electronic
(G)I-DLE,K-pop
100%_(band),Japanese_instrumental
12_Rounds,American_blues_rock
13_&_God,Trip_hop
14U,K-pop
14_Karat_Soul,cappella
15&,K-pop
1500_or_Nothin',American_instrumental
1TYM,K-pop
2000_Won,K-pop
24Hours_(band),K-pop
24K_(band),Trip_hop
2AM_(band),Japanese_instrumental
2Eyes,K-pop
2NB,K-pop
2NE1,Japanese_instrumental
2PM,Japanese_instrumental
2Yoon,K-pop
38_Special_(band),American_blues_rock
4L_(band),K-pop
4Men,K-pop
4Minute,Japanese_instrumental
4Ten,K-pop
4_Girls_4_Harps,British_instrumental
5ive_(American_band),American_instrumental
5urprise,K-pop
7th_Order,American_blues_rock
8Eight,K-pop
8mm_(band),Trip_hop
A-Jax_(band),Japanese_instrumental
A-Prince,K-pop
A.B._Skhy,American_blues
A.cian,K-pop
AOA_(band),K-pop
AOA_Cream,K-pop
Aaron_Williams_and_the_Hoodoo,American_blues_rock
Academy_of_St_Olave's,British_instrumental
Ace_(South_Korean_band),K-pop
Act_Noir,American_blues_rock
Ad_Vielle_Que_Pourra,Canadian_Celtic
Aerochix,American_blues_rock
Affabre_Concinui,cappella
After_School_(band),Japanese_instrumental
Air_(band),American_blues_rock
Airlock_(band),Trip_hop
Akdong_Musician,K-pop
Alabama_Shakes,American_blues_rock
Albannach_(band),Celtic
Alfapop,Celtic
Alien_Vampires,Electronic
All_Them_Witches,American_blues_rock
Allflaws,Trip_hop
Almeng,K-pop
Alph_Lyla,Japanese_instrumental
Alpha_(band),Trip_hop
Altan_(band),American_instrumental
Amarcord_(ensemble),cappella
Amaryllis_Chamber_Ensemble,American_instrumental
American_Blues,American_blues
Amersham_A_Cappella,British_instrumental
Anam_(band),Celtic
Angel's_Breath,American_blues_rock
Animals_as_Leaders,American_instrumental
Antimatter_(band),Trip_hop
Antiphona,Latin
Apink,Japanese_instrumental
Apollo_100,British_instrumental
Appaloosa_(band),Electronic
April_(girl_group),Japanese_instrumental
Arc_Angels,American_blues_rock
Archive_(band),Trip_hop
Ardú_Vocal_Ensemble,cappella
Ars_Nova_Singers,cappella
As_One_(musical_duo),K-pop
Asphalt_Ballet,American_blues_rock
Astro_(South_Korean_band),K-pop
Astyplaz,Electronic
Atom_Rhumba,American_blues_rock
Atom_on_Sphere,Japanese_instrumental
Attica_Blues_(band),Trip_hop
Australis_(musical_project),Electronic
Azteca_(band),Latin
B.A.P_(South_Korean_band),Japanese_instrumental
B.I.G_(band),Japanese_instrumental
B._Bumble_and_the_Stingers,American_instrumental
B1A4,Japanese_instrumental
BP_Rania,American_instrumental
BTL_(band),K-pop
Baby_Fox,Trip_hop
